text,sentiment,epistemic,aleatoric
Bitcoin ETF approved by SEC! Major institutional inflows expected.,0.6503201723098755,0.006481967866420746,0.6873711347579956
"Ethereum gas fees drop to lowest level in months, bullish for DeFi.",0.7880038022994995,0.0022646987345069647,0.5187911987304688
Crypto market cap hits new ATH as BTC breaks $50k resistance.,0.4779885709285736,0.004763880278915167,0.7017657160758972
"SEC announces new crypto regulations, market reacts cautiously.",0.3368629217147827,0.03341880813241005,0.9207678437232971
"Major exchange hacked, $100M stolen. Security concerns rise.",-0.6635426878929138,0.03610999509692192,0.7342023253440857
"Bitcoin mining difficulty reaches all-time high, network stronger.",0.6682049036026001,0.0031918585300445557,0.6387163400650024
"FTX creditors to receive partial payouts, selling pressure looms.",-0.8813099265098572,0.01563098467886448,0.3768611252307892
Layer 2 solutions gain traction as ETH scalability improves.,0.3910626471042633,0.005720432847738266,0.7285819053649902
"Whale moves 10,000 BTC to exchange, dumping concerns.",-0.33242541551589966,0.05209392309188843,1.0135869979858398
Crypto winter over? Analysts predict bull run continuation.,0.6511619091033936,0.0036525994073599577,0.6517469882965088
